prediction date,10u,10v,2t,sp,100u,100v,vel10,vel100,targ
2016-01-01 00:00:00,-1.356374740600586,5.344530999660492,280.243408203125,96301.0625,-1.7049007415771484,9.56927239894867,5.513960830770499,9.719961974406646,0.23500569476082
2016-01-01 01:00:00,-1.1861143112182615,5.668837547302246,280.878173828125,96235.6875,-1.3082818984985352,9.653046607971191,5.791596178686883,9.741299212199731,0.3239470387243736
2016-01-01 02:00:00,-1.382732391357422,5.847276329994202,280.85546875,96137.6875,-1.6040639877319336,9.97337818145752,6.008543030171246,10.101549070667891,0.4408889521640091
2016-01-01 03:00:00,-1.5601768493652344,6.019115447998048,280.964599609375,96046.0,-1.9042787551879885,10.1856050491333,6.218030441998812,10.36208607348878,0.4362471526195899
2016-01-01 04:00:00,-1.6417551040649414,6.413634300231934,281.08837890625,95899.0625,-2.028903007507324,10.770627975463867,6.620427838050563,10.960058138519026,0.554127562642369
2016-01-01 05:00:00,-1.2189197540283203,7.071011543273926,281.15185546875,95729.875,-1.3860654830932615,11.72425651550293,7.175302754021852,11.805903962201938,0.5564675398633258
2016-01-01 06:00:00,-1.2673320770263672,7.469944000244141,280.8671875,95617.125,-1.3906145095825195,12.508783340454102,7.576687532176802,12.585844007164695,0.490886104783599
2016-01-01 07:00:00,-2.5953941345214844,7.8831024169921875,280.849609375,95479.4375,-3.300732612609864,13.291105270385742,8.299359880755661,13.694828041579129,0.5630159453302961
2016-01-01 08:00:00,-2.376152992248535,8.236639022827147,280.914306640625,95357.0,-3.178927421569824,13.935598373413086,8.572533198240215,14.293581831601276,0.7435353075170843
2016-01-01 09:00:00,-1.1983480453491209,8.20195484161377,281.87744140625,95258.875,-1.287343978881836,13.422354757785795,8.289035001836076,13.483948300250129,0.6225233485193622
2016-01-01 10:00:00,0.4590435028076172,9.678385317325592,282.697021484375,95171.25,1.274311065673828,15.702881157398224,9.689265363694684,15.754502382984713,0.5404145785876994
2016-01-01 11:00:00,0.7816915512084961,10.506673812866213,282.98193359375,95098.5625,2.19478702545166,16.70078182220459,10.53571242447322,16.84438195838512,0.6366685649202733
2016-01-01 12:00:00,4.355611801147462,9.660412788391112,283.08642578125,95104.875,7.2730607986450195,15.182074546813965,10.596930187766908,16.834274588642167,0.5593211845102506
2016-01-01 13:00:00,6.646827697753906,6.926399230957031,283.36572265625,95107.8125,10.589404106140137,10.629255294799805,9.599756494319564,15.00388441188372,0.7691002277904327
2016-01-01 14:00:00,6.794054985046388,5.9414567947387695,283.224609375,95138.625,12.011971473693848,10.201367378234863,9.025524471385648,15.759294244050055,0.8460689066059225
2016-01-01 15:00:00,8.11114764213562,5.612367987632752,282.39892578125,95200.9375,12.447220385074615,8.540147840976715,9.863538437149575,15.095278084896494,0.787888382687927
2016-01-01 16:00:00,7.9434245228767395,4.996994972229004,281.6669921875,95251.9375,12.151615142822266,7.616196632385254,9.384452669342071,14.341136695618792,0.8588080865603644
2016-01-01 17:00:00,7.116687834262848,4.400308668613434,280.9912109375,95314.25,11.202095985412598,6.841499328613281,8.367195594069697,13.126045388075308,0.8549123006833713
2016-01-01 18:00:00,6.972671806812286,4.076716244220734,280.5341796875,95377.875,11.196070671081545,6.306831955909729,8.076990000080977,12.85021897836517,0.8242585421412301
2016-01-01 19:00:00,6.963737905025482,3.7607250213623047,280.095458984375,95457.3125,10.970541000366213,5.826163291931152,7.914334987615143,12.421632281828428,0.8283843963553531
2016-01-01 20:00:00,7.699818730354309,3.1898059844970703,279.573486328125,95552.8125,12.17946720123291,4.8788652420043945,8.334390841510158,13.120318111827428,0.7306662870159454
2016-01-01 21:00:00,7.985125184059143,2.507260322570801,279.068359375,95662.6875,12.67500114440918,3.7370176315307617,8.369502884295661,13.214422226837836,0.728240888382688
2016-01-01 22:00:00,7.130952179431915,2.489795684814453,278.9423828125,95750.6875,11.544537544250488,3.6933364868164062,7.553116015093733,12.120935669966178,0.7283490888382688
2016-01-01 23:00:00,6.295856714248657,2.6552324295043945,278.773681640625,95804.9375,10.265965461730955,3.96623420715332,6.832866969365179,11.0055013810115,0.7899424829157176
2016-01-02 00:00:00,6.4339571595191964,2.6243610382080083,278.843017578125,95806.375,10.15377426147461,4.073549270629884,6.948602419867791,10.940426655904856,0.7652112756264238
2016-01-02 01:00:00,6.451027512550354,2.707400321960449,278.705810546875,95834.3125,10.030882835388184,4.112472534179688,6.99612553282409,10.841173405202392,0.7086435079726652
2016-01-02 02:00:00,6.032417297363281,1.8639488220214844,278.23828125,95885.4375,9.607515335083008,2.636007308959961,6.313823220572697,9.96257423795404,0.6907881548974943
2016-01-02 03:00:00,5.893206417560577,1.562419891357422,277.959716796875,95952.625,9.533472061157228,2.2043323516845703,6.096805540353613,9.784997223175315,0.6299305239179954
2016-01-02 04:00:00,6.6696582436561584,1.7089242935180664,277.75439453125,95993.5625,10.332256317138672,2.366523742675781,6.885111715008462,10.59980920713671,0.5150637813211846
2016-01-02 05:00:00,5.215384364128114,2.471470832824707,277.8984375,95997.1875,8.54564094543457,3.7553119659423833,5.771343183618113,9.334363777453603,0.475382687927107
2016-01-02 06:00:00,6.695076953619719,2.185208320617676,277.904296875,96071.125,10.41404628753662,3.221829414367676,7.042669296466122,10.901034118570587,0.5665837129840546
2016-01-02 07:00:00,4.899119853973389,3.054610252380371,277.99658203125,96103.5,8.042283177375793,4.590505599975586,5.773388878080491,9.260186843066878,0.4103843963553531
2016-01-02 08:00:00,4.468912899494171,2.513904571533203,277.9013671875,96193.375,7.370138041675091,3.78486442565918,5.127465133771358,8.285175524632338,0.4351104783599089
